"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","45-54","All races/ethnicities","Both sexes","All transmission categories","133","12.8","1,040"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","35-44","All races/ethnicities","Both sexes","All transmission categories","186","27.8","670"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","25-34","All races/ethnicities","Both sexes","All transmission categories","324","31.2","1,040"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","13-24","All races/ethnicities","Both sexes","All transmission categories","145","18.6","780"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","55+","All races/ethnicities","Both sexes","All transmission categories","48","7.2","670"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","45-54","All races/ethnicities","Both sexes","All transmission categories","110","11.8","930"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","35-44","All races/ethnicities","Both sexes","All transmission categories","147","15.8","930"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","25-34","All races/ethnicities","Both sexes","All transmission categories","225","18.9","1,190"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","13-24","All races/ethnicities","Both sexes","All transmission categories","93","15.0","620"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","55+","All races/ethnicities","Both sexes","All transmission categories","164","15.6","1,050"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","45-54","All races/ethnicities","Both sexes","All transmission categories","242","16.4","1,480"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","35-44","All races/ethnicities","Both sexes","All transmission categories","377","19.9","1,890"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","25-34","All races/ethnicities","Both sexes","All transmission categories","677","18.7","3,620"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","13-24","All races/ethnicities","Both sexes","All transmission categories","267","11.4","2,350"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","55+","All races/ethnicities","Both sexes","All transmission categories","122","11.6","1,050"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","45-54","All races/ethnicities","Both sexes","All transmission categories","209","14.1","1,480"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","35-44","All races/ethnicities","Both sexes","All transmission categories","258","13.7","1,890"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","25-34","All races/ethnicities","Both sexes","All transmission categories","510","14.1","3,620"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","13-24","All races/ethnicities","Both sexes","All transmission categories","144","6.1","2,350"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","55+","All races/ethnicities","Both sexes","All transmission categories","67","5.7","1,170"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","45-54","All races/ethnicities","Both sexes","All transmission categories","127","8.6","1,480"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","35-44","All races/ethnicities","Both sexes","All transmission categories","155","8.1","1,910"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","25-34","All races/ethnicities","Both sexes","All transmission categories","281","8.3","3,390"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","13-24","All races/ethnicities","Both sexes","All transmission categories","79","3.2","2,450"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","250"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","190"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","25-34","All races/ethnicities","Both sexes","All transmission categories","56","22.4","250"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","90"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","250"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","190"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","250"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","90"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","260"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","230"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","360"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","150"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","55+","All races/ethnicities","Both sexes","All transmission categories","321","15.1","2,120"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","45-54","All races/ethnicities","Both sexes","All transmission categories","539","20.3","2,650"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","35-44","All races/ethnicities","Both sexes","All transmission categories","868","21.8","3,980"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","25-34","All races/ethnicities","Both sexes","All transmission categories","1,560","18.0","8,660"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","13-24","All races/ethnicities","Both sexes","All transmission categories","607","12.0","5,040"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","55+","All races/ethnicities","Both sexes","All transmission categories","197","9.3","2,120"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","45-54","All races/ethnicities","Both sexes","All transmission categories","404","15.2","2,650"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","35-44","All races/ethnicities","Both sexes","All transmission categories","561","14.1","3,980"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","25-34","All races/ethnicities","Both sexes","All transmission categories","1,034","11.9","8,660"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","13-24","All races/ethnicities","Both sexes","All transmission categories","399","7.9","5,040"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","55+","All races/ethnicities","Both sexes","All transmission categories","104","4.4","2,350"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","45-54","All races/ethnicities","Both sexes","All transmission categories","278","9.2","3,020"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","35-44","All races/ethnicities","Both sexes","All transmission categories","393","10.3","3,820"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","25-34","All races/ethnicities","Both sexes","All transmission categories","684","8.8","7,730"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","13-24","All races/ethnicities","Both sexes","All transmission categories","257","4.3","5,980"
"PrEP coverage and number of persons prescribed","2019","Texas","48","55+","All races/ethnicities","Both sexes","All transmission categories","1,779","18.6","9,560"
"PrEP coverage and number of persons prescribed","2019","Texas","48","45-54","All races/ethnicities","Both sexes","All transmission categories","3,025","18.4","16,450"
"PrEP coverage and number of persons prescribed","2019","Texas","48","35-44","All races/ethnicities","Both sexes","All transmission categories","5,330","22.5","23,640"
"PrEP coverage and number of persons prescribed","2019","Texas","48","25-34","All races/ethnicities","Both sexes","All transmission categories","9,665","21.0","46,070"
"PrEP coverage and number of persons prescribed","2019","Texas","48","13-24","All races/ethnicities","Both sexes","All transmission categories","3,330","11.9","28,070"
"PrEP coverage and number of persons prescribed","2018","Texas","48","55+","All races/ethnicities","Both sexes","All transmission categories","1,296","13.6","9,560"
"PrEP coverage and number of persons prescribed","2018","Texas","48","45-54","All races/ethnicities","Both sexes","All transmission categories","2,520","15.3","16,450"
"PrEP coverage and number of persons prescribed","2018","Texas","48","35-44","All races/ethnicities","Both sexes","All transmission categories","4,137","17.5","23,640"
"PrEP coverage and number of persons prescribed","2018","Texas","48","25-34","All races/ethnicities","Both sexes","All transmission categories","7,394","16.0","46,070"
"PrEP coverage and number of persons prescribed","2018","Texas","48","13-24","All races/ethnicities","Both sexes","All transmission categories","2,353","8.4","28,070"
"PrEP coverage and number of persons prescribed","2017","Texas","48","55+","All races/ethnicities","Both sexes","All transmission categories","881","9.5","9,320"
"PrEP coverage and number of persons prescribed","2017","Texas","48","45-54","All races/ethnicities","Both sexes","All transmission categories","1,712","10.7","15,980"
"PrEP coverage and number of persons prescribed","2017","Texas","48","35-44","All races/ethnicities","Both sexes","All transmission categories","2,705","11.4","23,640"
"PrEP coverage and number of persons prescribed","2017","Texas","48","25-34","All races/ethnicities","Both sexes","All transmission categories","4,378","9.4","46,370"
"PrEP coverage and number of persons prescribed","2017","Texas","48","13-24","All races/ethnicities","Both sexes","All transmission categories","1,412","5.0","28,090"
"PrEP coverage and number of persons prescribed","2019","Utah","49","55+","All races/ethnicities","Both sexes","All transmission categories","146","28.1","520"
"PrEP coverage and number of persons prescribed","2019","Utah","49","45-54","All races/ethnicities","Both sexes","All transmission categories","220","23.9","920"
"PrEP coverage and number of persons prescribed","2019","Utah","49","35-44","All races/ethnicities","Both sexes","All transmission categories","511","44.4","1,150"
"PrEP coverage and number of persons prescribed","2019","Utah","49","25-34","All races/ethnicities","Both sexes","All transmission categories","913","34.6","2,640"
"PrEP coverage and number of persons prescribed","2019","Utah","49","13-24","All races/ethnicities","Both sexes","All transmission categories","254","15.8","1,610"
"PrEP coverage and number of persons prescribed","2018","Utah","49","55+","All races/ethnicities","Both sexes","All transmission categories","99","19.0","520"
"PrEP coverage and number of persons prescribed","2018","Utah","49","45-54","All races/ethnicities","Both sexes","All transmission categories","181","19.7","920"
"PrEP coverage and number of persons prescribed","2018","Utah","49","35-44","All races/ethnicities","Both sexes","All transmission categories","352","30.6","1,150"
"PrEP coverage and number of persons prescribed","2018","Utah","49","25-34","All races/ethnicities","Both sexes","All transmission categories","661","25.0","2,640"
"PrEP coverage and number of persons prescribed","2018","Utah","49","13-24","All races/ethnicities","Both sexes","All transmission categories","199","12.4","1,610"
"PrEP coverage and number of persons prescribed","2017","Utah","49","55+","All races/ethnicities","Both sexes","All transmission categories","82","8.0","1,030"
"PrEP coverage and number of persons prescribed","2017","Utah","49","45-54","All races/ethnicities","Both sexes","All transmission categories","135","20.1","670"
"PrEP coverage and number of persons prescribed","2017","Utah","49","35-44","All races/ethnicities","Both sexes","All transmission categories","265","23.0","1,150"
"PrEP coverage and number of persons prescribed","2017","Utah","49","25-34","All races/ethnicities","Both sexes","All transmission categories","441","17.8","2,480"
"PrEP coverage and number of persons prescribed","2017","Utah","49","13-24","All races/ethnicities","Both sexes","All transmission categories","129","8.2","1,570"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","55+","All races/ethnicities","Both sexes","All transmission categories","57","31.7","180"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","45-54","All races/ethnicities","Both sexes","All transmission categories","55","30.6","180"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","35-44","All races/ethnicities","Both sexes","All transmission categories","58","20.0","290"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","25-34","All races/ethnicities","Both sexes","All transmission categories","108","45.0","240"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","13-24","All races/ethnicities","Both sexes","All transmission categories","59","32.8","180"
"PrEP coverage and number of persons prescribed","2018","Vermont","50","55+","All races/ethnicities","Both sexes","All transmission categories","52","28.9","180"
"PrEP coverage and number of persons prescribed","2018","Vermont","50","45-54","All races/ethnicities","Both sexes","All transmission categories","46","25.6","180"
"PrEP coverage and number of persons prescribed","2018","Vermont","50","35-44","All races/ethnicities","Both sexes","All transmission categories","51","17.6","290"
"PrEP coverage and number of persons prescribed","2018","Vermont","50","25-34","All races/ethnicities","Both sexes","All transmission categories","79","32.9","240"
"PrEP coverage and number of persons prescribed","2018","Vermont","50","13-24","All races/ethnicities","Both sexes","All transmission categories","52","28.9","180"
"PrEP coverage and number of persons prescribed","2017","Vermont","50","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","300"
"PrEP coverage and number of persons prescribed","2017","Vermont","50","45-54","All races/ethnicities","Both sexes","All transmission categories","45","64.3","70"
"PrEP coverage and number of persons prescribed","2017","Vermont","50","35-44","All races/ethnicities","Both sexes","All transmission categories","41","13.7","300"
"PrEP coverage and number of persons prescribed","2017","Vermont","50","25-34","All races/ethnicities","Both sexes","All transmission categories","60","10.0","600"
"PrEP coverage and number of persons prescribed","2017","Vermont","50","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","220"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","55+","All races/ethnicities","Both sexes","All transmission categories","400","12.3","3,260"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","45-54","All races/ethnicities","Both sexes","All transmission categories","569","15.2","3,740"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","35-44","All races/ethnicities","Both sexes","All transmission categories","999","16.7","5,970"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","25-34","All races/ethnicities","Both sexes","All transmission categories","1,822","16.2","11,250"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","13-24","All races/ethnicities","Both sexes","All transmission categories","622","8.6","7,220"
"PrEP coverage and number of persons prescribed","2018","Virginia","51","55+","All races/ethnicities","Both sexes","All transmission categories","248","7.6","3,260"
"PrEP coverage and number of persons prescribed","2018","Virginia","51","45-54","All races/ethnicities","Both sexes","All transmission categories","453","12.1","3,740"
"PrEP coverage and number of persons prescribed","2018","Virginia","51","35-44","All races/ethnicities","Both sexes","All transmission categories","676","11.3","5,970"
"PrEP coverage and number of persons prescribed","2018","Virginia","51","25-34","All races/ethnicities","Both sexes","All transmission categories","1,333","11.8","11,250"
"PrEP coverage and number of persons prescribed","2018","Virginia","51","13-24","All races/ethnicities","Both sexes","All transmission categories","414","5.7","7,220"
"PrEP coverage and number of persons prescribed","2017","Virginia","51","55+","All races/ethnicities","Both sexes","All transmission categories","174","5.2","3,320"
"PrEP coverage and number of persons prescribed","2017","Virginia","51","45-54","All races/ethnicities","Both sexes","All transmission categories","323","8.0","4,060"
"PrEP coverage and number of persons prescribed","2017","Virginia","51","35-44","All races/ethnicities","Both sexes","All transmission categories","439","6.7","6,590"
"PrEP coverage and number of persons prescribed","2017","Virginia","51","25-34","All races/ethnicities","Both sexes","All transmission categories","866","7.6","11,390"
"PrEP coverage and number of persons prescribed","2017","Virginia","51","13-24","All races/ethnicities","Both sexes","All transmission categories","247","3.0","8,310"
"PrEP coverage and number of persons prescribed","2019","Washington","53","55+","All races/ethnicities","Both sexes","All transmission categories","815","15.1","5,400"
"PrEP coverage and number of persons prescribed","2019","Washington","53","45-54","All races/ethnicities","Both sexes","All transmission categories","1,352","20.0","6,750"
"PrEP coverage and number of persons prescribed","2019","Washington","53","35-44","All races/ethnicities","Both sexes","All transmission categories","2,473","24.7","10,010"
"PrEP coverage and number of persons prescribed","2019","Washington","53","25-34","All races/ethnicities","Both sexes","All transmission categories","4,080","31.7","12,870"
"PrEP coverage and number of persons prescribed","2019","Washington","53","13-24","All races/ethnicities","Both sexes","All transmission categories","1,173","23.4","5,010"
"PrEP coverage and number of persons prescribed","2018","Washington","53","55+","All races/ethnicities","Both sexes","All transmission categories","648","12.0","5,400"
"PrEP coverage and number of persons prescribed","2018","Washington","53","45-54","All races/ethnicities","Both sexes","All transmission categories","1,146","17.0","6,750"
"PrEP coverage and number of persons prescribed","2018","Washington","53","35-44","All races/ethnicities","Both sexes","All transmission categories","2,034","20.3","10,010"
"PrEP coverage and number of persons prescribed","2018","Washington","53","25-34","All races/ethnicities","Both sexes","All transmission categories","3,437","26.7","12,870"
"PrEP coverage and number of persons prescribed","2018","Washington","53","13-24","All races/ethnicities","Both sexes","All transmission categories","979","19.5","5,010"
"PrEP coverage and number of persons prescribed","2017","Washington","53","55+","All races/ethnicities","Both sexes","All transmission categories","468","10.9","4,280"
"PrEP coverage and number of persons prescribed","2017","Washington","53","45-54","All races/ethnicities","Both sexes","All transmission categories","940","14.7","6,410"
"PrEP coverage and number of persons prescribed","2017","Washington","53","35-44","All races/ethnicities","Both sexes","All transmission categories","1,533","22.7","6,740"
"PrEP coverage and number of persons prescribed","2017","Washington","53","25-34","All races/ethnicities","Both sexes","All transmission categories","2,599","20.1","12,910"
"PrEP coverage and number of persons prescribed","2017","Washington","53","13-24","All races/ethnicities","Both sexes","All transmission categories","798","15.2","5,260"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","55+","All races/ethnicities","Both sexes","All transmission categories","46","25.6","180"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","45-54","All races/ethnicities","Both sexes","All transmission categories","88","9.6","920"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","35-44","All races/ethnicities","Both sexes","All transmission categories","142","11.1","1,280"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","25-34","All races/ethnicities","Both sexes","All transmission categories","197","9.8","2,020"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","13-24","All races/ethnicities","Both sexes","All transmission categories","97","11.3","860"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","180"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","45-54","All races/ethnicities","Both sexes","All transmission categories","64","7.0","920"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","35-44","All races/ethnicities","Both sexes","All transmission categories","84","6.6","1,280"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","25-34","All races/ethnicities","Both sexes","All transmission categories","134","6.6","2,020"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","860"
"PrEP coverage and number of persons prescribed","2017","West Virginia","54","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","100"
"PrEP coverage and number of persons prescribed","2017","West Virginia","54","45-54","All races/ethnicities","Both sexes","All transmission categories","45","7.8","580"
"PrEP coverage and number of persons prescribed","2017","West Virginia","54","35-44","All races/ethnicities","Both sexes","All transmission categories","44","6.1","720"
"PrEP coverage and number of persons prescribed","2017","West Virginia","54","25-34","All races/ethnicities","Both sexes","All transmission categories","86","7.2","1,200"
"PrEP coverage and number of persons prescribed","2017","West Virginia","54","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,060"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","55+","All races/ethnicities","Both sexes","All transmission categories","226","16.3","1,390"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","45-54","All races/ethnicities","Both sexes","All transmission categories","356","18.3","1,950"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","35-44","All races/ethnicities","Both sexes","All transmission categories","491","23.6","2,080"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","25-34","All races/ethnicities","Both sexes","All transmission categories","965","20.1","4,790"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","13-24","All races/ethnicities","Both sexes","All transmission categories","429","15.5","2,770"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","55+","All races/ethnicities","Both sexes","All transmission categories","147","10.6","1,390"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","45-54","All races/ethnicities","Both sexes","All transmission categories","300","15.4","1,950"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","35-44","All races/ethnicities","Both sexes","All transmission categories","357","17.2","2,080"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","25-34","All races/ethnicities","Both sexes","All transmission categories","723","15.1","4,790"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","13-24","All races/ethnicities","Both sexes","All transmission categories","326","11.8","2,770"
"PrEP coverage and number of persons prescribed","2017","Wisconsin","55","55+","All races/ethnicities","Both sexes","All transmission categories","99","8.7","1,140"
"PrEP coverage and number of persons prescribed","2017","Wisconsin","55","45-54","All races/ethnicities","Both sexes","All transmission categories","225","9.8","2,290"
"PrEP coverage and number of persons prescribed","2017","Wisconsin","55","35-44","All races/ethnicities","Both sexes","All transmission categories","296","13.9","2,130"
"PrEP coverage and number of persons prescribed","2017","Wisconsin","55","25-34","All races/ethnicities","Both sexes","All transmission categories","473","9.6","4,910"
"PrEP coverage and number of persons prescribed","2017","Wisconsin","55","13-24","All races/ethnicities","Both sexes","All transmission categories","194","5.2","3,760"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","70"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","150"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","670"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","70"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","150"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","670"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2017","Wyoming","56","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2017","Wyoming","56","45-54","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","420"
"PrEP coverage and number of persons prescribed","2017","Wyoming","56","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","560"
"PrEP coverage and number of persons prescribed","2017","Wyoming","56","25-34","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","420"
"PrEP coverage and number of persons prescribed","2017","Wyoming","56","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","0"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","American Samoa","60","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","American Samoa","60","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","American Samoa","60","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","American Samoa","60","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","American Samoa","60","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","American Samoa","60","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","American Samoa","60","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","American Samoa","60","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","American Samoa","60","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2017","American Samoa","60","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Guam","66","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Guam","66","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Guam","66","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Guam","66","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Guam","66","13-24","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Guam","66","55+","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Guam","66","45-54","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Guam","66","35-44","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2018","Guam","66","25-34","All races/ethnicities","Both sexes","All transmission categories","Data not available","Data not available","NA"
